"","popularity","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_min"
"popularity",1,0.0887373358434425,0.00322090456398092,0.0933826907561891,-0.0645486696580598,-0.0380540392230024,-0.175194965476323,-0.030589695021723,0.013025116861018,0.00206849461624125,-0.0520879835125776
"danceability",0.0887373358434425,1,0.125229864200542,0.252847977845515,0.105673566838313,-0.166427793324366,-0.184203284480756,-0.127862621670796,0.487156710025049,-0.039668424886853,-0.0687002439652793
"energy",0.00322090456398092,0.125229864200542,1,0.760971710882455,0.138201702483107,-0.73436573378291,-0.17953088656161,0.194859850812206,0.249361630002568,0.24990671350648,0.0827338462600492
"loudness",0.0933826907561891,0.252847977845515,0.760971710882455,1,0.0521079811948263,-0.583402180543151,-0.43143528432326,0.0842163618207353,0.282187588143669,0.219014422180849,0.0157061883251299
"speechiness",-0.0645486696580598,0.105673566838313,0.138201702483107,0.0521079811948263,1,0.0104727267468117,-0.102853268795056,0.23141891708173,0.031944989753621,-0.00682340579137927,-0.0839848908721793
"acousticness",-0.0380540392230024,-0.166427793324366,-0.73436573378291,-0.583402180543151,0.0104727267468117,1,0.0925089365944488,-0.0177307265083138,-0.0999387870617197,-0.221370009596253,-0.146502541386495
"instrumentalness",-0.175194965476323,-0.184203284480756,-0.17953088656161,-0.43143528432326,-0.102853268795056,0.0925089365944488,1,-0.0987659163489991,-0.328502765460312,-0.0487814992032104,0.132192457301646
"liveness",-0.030589695021723,-0.127862621670796,0.194859850812206,0.0842163618207353,0.23141891708173,-0.0177307265083138,-0.0987659163489991,1,0.017717623276326,0.000204474045968484,0.00840140239629197
"valence",0.013025116861018,0.487156710025049,0.249361630002568,0.282187588143669,0.031944989753621,-0.0999387870617197,-0.328502765460312,0.017717623276326,1,0.0819347406623935,-0.172794005254585
"tempo",0.00206849461624125,-0.039668424886853,0.24990671350648,0.219014422180849,-0.00682340579137927,-0.221370009596253,-0.0487814992032104,0.000204474045968484,0.0819347406623935,1,0.0303863266694102
"duration_min",-0.0520879835125776,-0.0687002439652793,0.0827338462600492,0.0157061883251299,-0.0839848908721793,-0.146502541386495,0.132192457301646,0.00840140239629197,-0.172794005254585,0.0303863266694102,1
